Spécialité commerciale;Matière active (M.A.);Autre;Concentration en M.A. (% );Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);New Biocontrol Column;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Insecticide;New Biocontrol Column;Nombre de traitements autorisés
KENTAN 40 WG;cuivre ;;40.0;3.0;1.2;3.0;CEPSUL ESPECIAL 98,5 %;Sulphur ;;25.0;24.6;1.0;8.0;AGREE 50 WG;Bacillus thuringiensis subsp. aizawai SOUCHE: GC-91 Collection de cultures: ;;1.5;0.0;1.0;4.0;ISONET L PLUS;(E,Z)-7,9-dodécadien-1-yl acétate  585.0 g/kg | (Z)-9-dodécen-1-yl acétate  66.0 g/kg;1.0;VIO-TRAP;deltaméthrine ;;160.0;20.0;1;1;2.0
NORDOX 75 WG JARDIN;cuivre de l'oxyde cuivreux ;Jardin autorisé;75.0;0.533;0.4;3.0;POL-SULPHUR 80 WG;soufre ;;4.0;3.2;1.0;8.0;LEPINOX PLUS;Bacillus thuringiensis subsp. kurstaki souche EG 2348 ;;1.0;0.0;1.0;3.0;ISONET L PLUS;(E,Z)-7,9-dodécadien-1-yl acétate  585.0 g/kg | (Z)-9-dodécen-1-yl acétate  66.0 g/kg;1.0;IODUS 2 CULTURES SPECIALISEES;laminarine ;;2.0;0.1;0;1;20.0
NORDOX 75 WG JARDIN;cuivre de l'oxyde cuivreux ;Jardin autorisé;75.0;0.2;0.2;3.0;OIDIOL POUDRAGE;Sulphur ;;20.0;19.4;1.0;3.0;PYREVERT;pyréthrines ;;1.5;0.279;0.0;3.0;CHECKMATE PUFFER LB;(E,Z)-7,9-dodécadien-1-yl acétate  87.77 g/L;1.0;LUMIERE;huile de paraffine ;;10.8;;1;1;1.0
BOUILLIE BORDELAISE NC 20 K;sulfate de cuivre ;;20.0;25.0;5.0;;LABELIS EV;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;;FITOPYR;pyréthrines ;;1.5;0.279;0.0;3.0;LOBETEC;(E,Z)-7,9-dodécadien-1-yl acétate  210.0 mg/diffuseur;1.0;BLINDAR;Trichoderma gamsii ICC080 ;;1.0;2001201.2;0;1;2.0
BOUILLIE BORDELAISE UPL;sulfate de cuivre ;;20.0;25.0;5.0;;LABELIS EV;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;;DOCTRIN;Bacillus thuringiensis subsp. kurstaki souche PB 54 ;;1.0;0.0;1.0;3.0;ISONET L;(E,Z)-7,9-dodécadien-1-yl acétate  643.0 g/kg;1.0;ESCALATOR;Trichoderma gamsii ICC080 ;;1.0;2001201.2;0;1;2.0
NORDOX VITIS;cuivre ;;45.0;1.66;0.7;5.0;KUMULUS JARDIN;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;2.0;COSTAR WG;Bacillus thuringiensis subsp. kurstaki souche SA-12 ;;1.0;0.0;1.0;12.0;ISONET L;(E,Z)-7,9-dodécadien-1-yl acétate  643.0 g/kg;1.0;ROMEO;cerevisane ;;0.25;0.2;0;1;10.0
NORDOX VITIS;cuivre ;;45.0;1.66;0.7;5.0;KUMULUS JARDIN;soufre micronisé ;Jardin autorisé;12.5;10.0;1.0;8.0;DIPEL DF;Bacillus thuringiensis subsp. kurstaki SOUCHE: ABTS 351 Collection de cultu ;;1.0;0.0;1.0;6.0;ISONET LA PLUS;(Z)-9-dodécen-1-yl acétate  61.0 g/kg | (Z)-11-tetradécen-1-yl acétate  212.0 g/kg | (Z)-9-tetradécen-1-yl acétate  11.0 g/kg | (E,Z)-7,9-dodécadien-1-yl acétate  552.0 g/kg;1.0;MAGNET MED;deltaméthrine ;;75.0;0.8;1;1;
NORDOX VITIS;cuivre ;;45.0;1.33;0.6;3.0;POL-SULPHUR 80 WP;soufre ;;4.0;3.2;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;BIOOTWIN L;(E,Z)-7,9-dodécadien-1-yl acétate  792.0 g/kg;1.0;BIOACT PRIME;Paecilomyces lilacinus souche 251 ;;0.75;3300000.0;0;1;5.0
NORDOX VITIS;cuivre ;;45.0;1.33;0.6;3.0;ACOIDAL WG;soufre ;;4.0;3.2;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;CHECKMATE PUFFER LB/EA;(Z)-9-dodécen-1-yl acétate  104.2 g/kg | (E,Z)-7,9-dodécadien-1-yl acétate  91.1 g/kg;1.0;DECIS TRAP;deltaméthrine ;;80.0;0.1;1;1;1.0
CUIVRISTAL;hydroxyde de cuivre ;;33.9;3.75;1.3;4.0;SOUFRE SUBLIME AFEPASA;soufre ;;25.0;24.8;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;ISONET LE;(E,Z)-7,9-dodécadien-1-yl acétate  47.25 % | (Z)-9-dodécen-1-yl acétate  47.25 %;1.0;SOKALCIARBO WP;kaolin ;;20.0;20.0;0;1;4.0
CUIVRISTAL;hydroxyde de cuivre ;;33.9;3.75;1.3;4.0;WETTASUL DP;soufre ;;25.0;24.0;1.0;4.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;WEINTEC;(Z)-9-dodécen-1-yl acétate  325.0 mg/diffuseur | (E,Z)-7,9-dodécadien-1-yl acétate  210.0 mg/diffuseur;1.0;OVIPHYT;huile de paraffine ;;10.0;8042.5;1;1;2.0
BOUILLIE BORDELAISE NC 20 K JARDIN;sulfate de cuivre ;Jardin autorisé;20.0;2.5;0.5;;VISUL GD 80;soufre ;;12.5;10.0;1.0;8.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;CRYPTOTEC;(Z)-11-hexadécenal  165.0 mg/diffuseur | (Z)-13-octadécenal  165.0 mg/diffuseur;1.0;ESSEN'CIEL;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE NOVAJARDIN;cuivre ;Jardin autorisé;20.0;2.5;0.5;;VISUL GD 80;soufre ;;20.0;16.0;1.0;1.0;FYCILIA;spinosad ;;2.0;0.048;0.0;2.0;RAK 1+2 MIX;Straight Chain Lepidopteran Pheromones  0.226 g/diffuseur | Straight Chain Lepidopteran Pheromones  0.217 g/diffuseur;1.0;ESSEN'CIEL;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE SUPER 20 K;sulfate de cuivre ;Jardin autorisé;20.0;2.5;0.5;;ACOIDAL 800 FLO;soufre triture ;;4.0;3.2;1.0;8.0;RAPAX AS;Bacillus thuringiensis subsp. kurstaki souche EG 2348 ;;1.0;0.0;1.0;3.0;MISTER L;(E,Z)-7,9-dodécadien-1-yl acétate  70.0 g/kg;1.0;ESSEN'CIEL;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE RSR DISPERSS;cuivre ;;20.0;20.0;4.0;;HELIOSOUFRE S;soufre ;;7.5;5.2;1.0;4.0;RAPAX AS;Bacillus thuringiensis subsp. kurstaki souche EG 2348 ;;1.0;0.0;1.0;3.0;RAK 2 NEW;Straight Chain Lepidopteran Pheromones  0.367 g/diffuseur;1.0;ESSEN'CIEL;huile essentielle d'orange ;;2.0;0.1;1;1;2.0
BOUILLIE BORDELAISE RSR DISPERSS;cuivre ;;20.0;3.75;0.8;5.0;HELIOSOUFRE S;soufre ;;7.5;5.2;1.0;12.0;DELFIN JARDIN;Bacillus thuringiensis subsp. kurstaki souche SA 11 ;Jardin autorisé;0.75;0.0;1.0;;SEMIOS LB PLUS AEROSOL;(E,Z)-7,9-dodécadien-1-yl acétate  117.4 g/kg;1.0;ESSEN'CIEL;huile essentielle d'orange ;;1.6;0.1;1;1;6.0
STYROCUIVRE DF;cuivre de l'oxychlorure de cuivre ;;50.0;10.0;5.0;;SOUFRUGEC;soufre micronisé ;;12.5;10.0;1.0;;DELFIN JARDIN;Bacillus thuringiensis subsp. kurstaki souche SA 11 ;Jardin autorisé;0.75;0.0;1.0;6.0;CELADA LB 400;(E,Z)-7,9-dodécadien-1-yl acétate  98.0 g/kg;1.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;1.6;0.1;1;1;6.0
BOUILLIE BORDELAISE VALLES 20 BLEUE;cuivre du sulfate tetracuivrique et tricalcique ;;20.0;5.0;1.0;4.0;SOUFRUGEC;soufre micronisé ;;4.0;3.2;1.0;8.0;SUCCESS 4;spinosad ;;0.1;0.048;0.0;2.0;LOBESIA PRO CLIP;(E,Z)-7,9-dodécadien-1-yl acétate  55.0 g/kg;0.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;1.6;0.1;1;1;6.0
BOUILLIE SOLAISE;sulfate de cuivre ;;20.0;25.0;5.0;;AFEFLOR POUDRE;soufre triture ventile ;;25.0;23.8;1.0;8.0;SUCCESS 4;spinosad ;;0.1;0.048;0.0;2.0;CIDETRAK-EGVM;(E,Z)-7,9-dodécadien-1-yl acétate  190.0 mg/diffuseur;1.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;2.0;0.1;1;1;2.0
LIMPIC 124 SC;cuivre ;;12.4;6.0;0.7;4.0;AFEFLUID VENTILE SUPER;soufre ;;25.0;23.8;1.0;8.0;SUCCESS 4;spinosad ;;0.2;0.096;0.0;1.0;BIOOTWIN L E;(E,Z)-7,9-dodécadien-1-yl acétate  393.0 g/kg | (Z)-9-dodécen-1-yl acétate  393.0 g/kg;1.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;2.0;0.1;1;1;2.0
LIMPIC 124 SC;cuivre ;;12.4;6.0;0.7;4.0;POL-SULPHUR800SC;soufre ;;4.0;3.2;1.0;8.0;SUCCESS 4;spinosad ;;0.1;0.048;0.0;2.0;BIOOTWIN L+;(E,Z)-7,9-dodécadien-1-yl acétate  670.0 g/kg | (Z)-9-dodécen-1-yl acétate  73.0 g/kg;1.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;1.6;0.1;1;1;6.0
BLUE SHIELD HI BIO WG;cuivre de l'hydroxyde de cuivre ;;22.0;3.4;0.7;5.0;SUBLIMDOR;soufre ;;25.0;24.8;1.0;8.0;TURIBEL;Bacillus thuringiensis subsp. kurstaki souche PB 54 ;;1.0;0.0;1.0;3.0;ISONET L TT;(E,Z)-7,9-dodécadien-1-yl acétate  792.0 g/kg;1.0;LIMOCIDE J;huile essentielle d'orange ;Jardin autorisé;1.6;0.1;1;1;6.0
SODICUIVRE 50;cuivre ;;50.0;10.0;5.0;;LUCIFERE S;soufre ;;12.5;10.0;1.0;8.0;DELFIN;Bacillus thuringiensis subsp. kurstaki souche SA 11 ;;0.75;0.0;1.0;6.0;LOBESIA PRO PRESS;(E,Z)-7,9-dodécadien-1-yl acétate  100.0 g/kg;1.0;TRI-WALL;Trichoderma atroviride souche I-1237 ;;1.0;100000.0;0;1;2.0
BORDO 20 MICRO;cuivre ;;20.0;20.0;4.0;5.0;SOFLUID DP;soufre triture ventile ;;20.0;19.7;1.0;;DELFIN;Bacillus thuringiensis subsp. kurstaki souche SA 11 ;;0.75;0.0;1.0;6.0;MISTER L E;(Z)-9-dodécen-1-yl acétate  61.0 g/kg | (E,Z)-7,9-dodécadien-1-yl acétate  61.0 g/kg;1.0;ARGICAL PRO;silicate d'aluminium ;;20.0;19.8;1;1;6.0
MANIFLOW;cuivre ;;12.4;6.0;0.7;5.0;AFESOUFRE VENTILE 98.5;soufre ;;25.0;24.6;1.0;8.0;DIPEL DF JARDIN;Bacillus thuringiensis subsp. kurstaki souche ABTS 351 ;Jardin autorisé;0.75;0.0;1.0;6.0;CELADA LB 320;(E,Z)-7,9-dodécadien-1-yl acétate  82.0 g/kg;1.0;VINTEC TASC ONE;Trichoderma atroviride SC1 ;;0.2;200000.0;0;0;2.0
BOUILLIE BORDELAISE MANICA NC JARDIN;sulfate de cuivre ;Jardin autorisé;20.0;2.0;0.4;;AZUMO JARDIN;soufre ;Jardin autorisé;2.0;1.6;1.0;1.0;XENTARI;Bacillus thuringiensis subsp. aizawai SOUCHE: ABTS-1857 Collection de cultu ;;1.0;0.0;1.0;6.0;;;;VINTEC TASC ONE;Trichoderma atroviride SC1 ;;0.2;200000.0;0;0;4.0
BOUILLIE BORDELAISE MANICA NC JARDIN;sulfate de cuivre ;Jardin autorisé;20.0;0.75;0.2;5.0;AZUMO JARDIN;soufre ;Jardin autorisé;1.25;1.0;1.0;8.0;COSTAR JARDIN;Bacillus thuringiensis subsp. kurstaki souche SA-12 ;Jardin autorisé;1.0;0.0;1.0;12.0;;;;VINTEC TASC ONE;Trichoderma atroviride SC1 ;;0.2;200000.0;0;0;2.0
BOUILLIE BORDELAISE MACC 80 JARDINS;cuivre ;Jardin autorisé;20.0;1.5;0.3;;AFESUL LIQUIDE 800 SUPER MICRONISE;soufre ;;12.1;9.7;1.0;8.0;SUCCESS VD JARDIN;spinosad ;Jardin autorisé;2.0;0.048;0.0;2.0;;;;VINTEC TASC ONE;Trichoderma atroviride SC1 ;;0.2;200000.0;0;0;4.0
BOUILLIE BORDELAISE MANICA;sulfate de cuivre ;;20.0;20.0;4.0;;ACTIOL;soufre ;;12.5;10.0;1.0;8.0;SUCCESS VD JARDIN;spinosad ;Jardin autorisé;2.0;0.048;0.0;2.0;;;;ARMICARB;hydrogénocarbonate de potassium ;;5.0;4.2;0;1;8.0
